Source,Style,Sub_Style,File_Name,File_Path,Neckline,Sleeve,Print,Length,Fit
Tommy-Hilfiger,Dress,TH-Dress,macys_4460534_parchment-black-ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4460534_parchment-black-ivory.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_2816911_black-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_2816911_black-white.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5886891_blush-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5886891_blush-white.jpg,Crew,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5499332_black-white-peach14.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5499332_black-white-peach14.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_rw00755_black.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_rw00755_black.jpg,Crew,Sleeveless,,Floor Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw04235_tommy-black.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw04235_tommy-black.jpg,Collared,Short Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22353100_classic-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22353100_classic-white.jpg,Collared,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5428476_sky-captain6.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5428476_sky-captain6.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_1652403_midnight.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_1652403_midnight.jpg,Square,Short Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw03621901_light-grey-htr---blue-ribbon.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw03621901_light-grey-htr---blue-ribbon.jpg,Hooded,Long Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5315469_orange-blue-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5315469_orange-blue-white.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww22133279_mini-leaf-prt---tapioca.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww22133279_mini-leaf-prt---tapioca.jpg,Scoop,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_1652100_classic-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_1652100_classic-white.jpg,Square,Short Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5792637_white-sky-captain.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5792637_white-sky-captain.jpg,Off-The-Shoulder,Short Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw04231901_floral-print.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw04231901_floral-print.jpg,V-Neck,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_ww22423_black-beauty.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_ww22423_black-beauty.jpg,V-Neck,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5428221_pacific-multi2.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5428221_pacific-multi2.jpg,Collared,3/4 Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536556_black-pink-multi.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536556_black-pink-multi.jpg,V-Neck,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,usatommy_dw04352_racing-print.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/usatommy_dw04352_racing-print.jpg,V-Neck,Sleeveless,,Mid/Tea Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_4460534_ivory-khaki-crystal-blue.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_4460534_ivory-khaki-crystal-blue.jpg,Scoop,Sleeveless,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5379774_navy4.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5379774_navy4.jpg,V-Neck,3/4 Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_ww0ww21558403_midnight.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_ww0ww21558403_midnight.jpg,Crew,Long Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw03966413_blue-ribbon.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw03966413_blue-ribbon.jpg,Crew,Long Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5255098_gold16.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5255098_gold16.jpg,V-Neck,Short Sleeve,,Above the Knee,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5583219_indigo.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5583219_indigo.jpg,Collared,Short Sleeve,,Mini,NA
Tommy-Hilfiger,Dress,TH-Dress,tommy_dw0dw03620902_navy-blazer-bright-white.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/tommy_dw0dw03620902_navy-blazer-bright-white.jpg,Crew,Long Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_2816911_navy-ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_2816911_navy-ivory.jpg,Crew,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_2816906_seashell.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_2816906_seashell.jpg,Scoop,Sleeveless,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_5536544_ivory.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_5536544_ivory.jpg,Scoop,3/4 Sleeve,,Knee Length,NA
Tommy-Hilfiger,Dress,TH-Dress,macys_6130746_powder.jpg,http://35.186.213.88//Tommy-Hilfiger/Women/Apparel/Dress/TH-Dress/macys_6130746_powder.jpg,Crew,Sleeveless,,Above the Knee,NA
